,Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought
9749,"National Audubon Society, Inc.",19-RC-284542,Anchorage,AK,2021-10-14,"Region 19, Seattle, Washington",Closed,12/28/2021,Certific. of Representative,3.0,2.0,"Communications Workers of America, AFL-CIO","Included:  All full time and regular part-time employees employed by the Employer in the Alaska state office, including employees at nature centers, sanctuaries, and preserves. Excluded:  All other employees, including employees who report to the National office, directors, seasonal employees, fellows, interns, confidential employees, guards and supervisors as defined by the Act."
9751,"Paizo, Inc.",19-RC-284623,Redmond,WA,2021-10-14,"Region 19, Seattle, Washington",Closed,10/22/2021,Withdrawal Non-adjusted,,50.0,,"Included:

All full-time and part-time including Coordinators, Software Test Engineers, Front End Engineering Leads, Customer Service Representatives, Lead Designers, Software Developers, Game Designers, Senior Developers, Webstore Coordinators, Sales Managers, Sales and E-Commerce Assistants, Developers, Line Developers, Web Content Managers, Editors, Project Coordinators, Senior Software Developers, Systems Administrators, Art Directors, Warehouse Associates, Directors of Brand Strategy, Warehouse Distribution Leads, Directors of Licensing, Creative Directors, Production Designers, Marketing and Media Managers, and Senior Graphic Designers 

Excluded: 

All statutorily excluded employees."
9752,"Golden SVCS, LLC",05-RC-284453,Suitland,MD,2021-10-13,"Region 05, Baltimore, Maryland",Closed,12/22/2021,Certific. of Representative,73.0,65.0,Union Rights for Security Officers (URSO),"Included:  All full-time and regular part-time security officers employed by the employer.

Excluded:  All officer clerical employees, professional employees, lieutenants, and captain
"
9756,"GFL Environmental USA, Inc.",07-RC-284526,Dearborn,MI,2021-10-13,"Region 07, Detroit, Michigan",Closed,01/03/2022,Certification of Results,56.0,36.0,"Local 324, International Union of Operating Engineers (IUOE),  AFL-CIO","Included:  All full-time and regular part-time drivers and equipment operators working out of or at its Dearborn, Michigan facility 

Excluded:  Temporary employees, seasonal employees, guards and supervisors as defined in the Act."
9757,PharmaCann Inc. d/b/a Verilife Cannabis Dispensary,13-RC-284495,Romeoville,IL,2021-10-13,"Region 13, Chicago, Illinois",Closed,12/30/2021,Certific. of Representative,14.0,19.0,"International Brotherhood of Teamsters, Local  777","Included:  All full-time and regular part-time Cannabis Sales Consultants (CSC) and Dispensing Inventory Specialist (DIS)

Excluded:  All salaried managers, temporary employees, other contracted employees, office clerical employees, confidential employees, and professional employees, guards and supervisors as defined in the Act."
9758,Radnet Management Inc. dba Kern Radiology Riverwalk,31-RC-284497,Bakersfield,CA,2021-10-13,"Region 31, Los Angeles, California",Closed,11/03/2021,Withdrawal Non-adjusted,,9.0,,"Included: All full time, part time and per diem technical employees employed by the Employer at 9330 Stockdale Hwy., Suite 100, Bakersfield, CA 93311.

Excluded: All other employees, professional employees, physicians, office clerical employees, managerial employees, confidential employees, guards, supervisors as defined in the Act."
9759,"Marriott Hotel Services, Inc.",05-RC-284499,National Harbor,MD,2021-10-13,"Region 05, Baltimore, Maryland",Closed,01/03/2022,Certific. of Representative,112.0,110.0,"International Union, Security, Police and Fire Professionals of America (SPFPA)","Included:  All Full-Time and Part-Time Loss Prevention Officers performing Guard duties as defined in Section 9(B)(3) of The National Labor Relations Act, employed by Marriott Hotel Services Inc. @201 Waterfront St. National Harbor, MD 20745.

Excluded:  All Office Clerical Employees, Professional Employees and Supervisors as defined by the Act.
"
9760,Radnet Management Inc. dba Kern Radiology,31-RC-284508,Bakersfield,CA,2021-10-13,"Region 31, Los Angeles, California",Closed,11/03/2021,Withdrawal Non-adjusted,,20.0,,"Included: All full time, part time and per diem registered nurses and technical employees employed by the Employer at 9900 Stockdale Hwy, Suite 100, Bakersfield, CA 93311.

Excluded: All other employees, all other professional employees, physicians, office clerical employees, managerial employees, guards, and supervisors as defined in the Act."
9762,"Hunts Point Terminal Produce Cooperative Association, Inc.,",02-RC-284676,Bronx,NY,2021-10-13,"Region 02, New York, New York",Closed,11/24/2021,Certific. of Representative,36.0,40.0,National Security Officers Benevolent Association Local 971/550,"Included:
All full time and regular part time security guards.

Excluded:
All other employees"
9763,United Parcel Service,13-RC-284317,Chicago,IL,2021-10-12,"Region 13, Chicago, Illinois",Closed,10/22/2021,Withdrawal Non-adjusted,,3.0,,"Included: Air administrative assistant clerk (""Armour-Globe"" self-determination election to join current unit) Excluded: Independent contractors, managerial employees, and all others prohibited by the Act."
9765,Antioch University d/b/a Antioch University New England; Antioch University Los Angeles; Antioch University Midwest; Antioch University Santa Barbara; Antioch University Seattle; and Antioch University Online,19-RC-284405,Seattle,WA,2021-10-12,"Region 19, Seattle, Washington",Closed,12/28/2021,Certification of Results,597.0,546.0,"Service Employees International Union (SEIU) Local 925, CTW, CLC","Included: (To be included in existing professional unit) All full-time and regular part-time faculty employed by Antioch University at all locations, including core, teaching, clinical, public service, research, administrative, affiliate, and adjunct faculty. Excluded: Administrators, deans, clinic managers, non-faculty staff, non-administrative staff who are not compensated additionally for teaching, and all other employees, guards, managers, and supervisors as defined in the Act."
9767,"APT  Electrical Contracting Co., Inc.",04-RC-284382,Fort Washington,PA,2021-10-12,"Region 04, Philadelphia, Pennsylvania",Closed,01/26/2022,Certific. of Representative,20.0,14.0,,"Included:  All full time Electricians, Electrician Helpers/Apprentices employed by APT Electrical

Excluded:  Guards, Delivery Drivers, Clerical, Supervisors, and all others excluded under the Act"
9769,Forterra NW,19-RC-284341,Seattle,WA,2021-10-12,"Region 19, Seattle, Washington",Closed,12/16/2021,Certific. of Representative,28.0,42.0,Office and Professional Employees International Union Local 8 affiliated with the AFL-CIO,"Included:  

All regular part time and full time employees employed by the employer excluding all managerial, confidential and supervisory employees.
Included job titles: Associate Philanthropy Director, Annual Giving & Stewardship, Associate Philanthropy Director, Foundation Relations, Associate Philanthropy Director, Institutional Engagement,
Associate Philanthropy Director, Major Gifts, Chehalis Basin Conservation Director, Creative Services Senior Project Manager, Database Specialist, Digital Marketing Manager, Director Impact Relations, Director of Community Development, Director of Riparian Restoration, Event Manager, Geospatial Director, Government Affairs Director, Green Cities Program Manager, Green Cities Project Manager, Green Cities Project Manager II, Green Cities, Stewardship Coordinator, IT Manager, Lands Manager, Philanthropy Officer, Program Manager, Conservation Transactions, Project Associate, Business Development, Project Manager, Business Development, Project Manager, Community Development, Project Manager, Conservation Transactions, Project Manager, Innovations, Project Manager, Riparian Restoration, Project Manager, Transactions Construction & Development, Riparian Restoration Project Manager, Senior Accountant, Senior Construction Manager, Senior Development and Construction Manager, Senior Director, Community Development, Senior Green Cities Project Manager, Senior Project Manager, Business Development, Sr Project Manager, Conservation Transactions, Staff Accountant, Website & Audience Growth Manager.

Excluded:  

All managerial, confidential and supervisory employees.     
"
9770,Suiza Dairy (Hatillo),12-RC-284326,Hatillo,PR,2021-10-12,"Region 12, Tampa, Florida",Closed,11/02/2021,Withdrawal Non-adjusted,,14.0,,"Included: All regular Full time and Part time merchandiser employees that work for the company. 

Excluded: All other employees excluded by the Act. 

"
9771,"Resources for Children with Special Needs, Inc. d/b/a INCLUDEnyc",02-RC-284372,New York,NY,2021-10-12,"Region 02, New York, New York",Closed,12/28/2021,Certific. of Representative,26.0,25.0,"Office and Professional Employees International Union (OPEIU), Local 153, AFL-CIO","Included:
All full time and regular part time employed by the Employer

Excluded:
All confidential employees, managers, guards and supervisors as defined by the Act.
"
9772,Greenhouse Group LLC d/b/a Curaleaf,13-RC-284386,Skokie,IL,2021-10-12,"Region 13, Chicago, Illinois",Closed,12/01/2021,Certific. of Representative,39.0,31.0,"Local 881, United Food and Commercial Workers","Included:  All Full-Time & Part-Time Store Associates employed by the Employer from its facility.

Excluded:  Managers, Store Associate Leads, Guards, Professional Employees & Supervisor
."
9773,Northwestern University,13-RC-284411,Evanston,IL,2021-10-12,"Region 13, Chicago, Illinois",Closed,12/14/2021,Certific. of Representative,107.0,142.0,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 73,"Included:  Northwestern University library staff including those in the position of Administrative Assistant I; Administrative Assistant II; Administrative Assistant III; Business Coordinator; Circulation Services Supervisor; Communications Specialist; Clerk III; Conservation Technician; Curator; Customer Service Representative; Developer; Developer Lead; Developer Senior; Digitization Assistant; Financial Assistant; Librarian; Library Assistant I: Librarian Assistant II; Librarian Assistant III; Library Clerk I; Library Clerk II; Mail Delivery Worker; Senior Developer; Senior Librarian; Systems Administrator; Systems Administrator Senior; Technical Support Specialist; Technical Support Specialist Senior: University Archivist; User Service Representative II; User Services Representative 2.5; User Support Specialist; User Support Specialist Associate; Web and Electronic Communication Specialist; All other non-supervisory, non-guard employees working at Northwestern University's main library.

Excluded:  Northwestern University library staff working primarily in the Pritzker (Law School) or Galter (Medical School) libraries; statutory supervisors; statutory guards; student employees; University Press employees; library employees performing work primarily in the foreign State of Quatar; Employees of the Styberg Library located within Northwestern University; all other Northwestern University employees not included in the unit."
9774,93 West Main Operating LLC d/b/a Norwichtown Rehabilitation and Care Center,01-RC-284410,Norwich,CT,2021-10-12,"Region 01, Boston, Massachusetts",Closed,11/29/2021,Certification of Results,75.0,71.0,,"All full-time, regular part-time & per diem Service and Maintenance Employees employed as Secretaries, Certified Nursing Aides, Cooks, Assistant Cooks, Dietary Aides, Housekeepers, Maintenance and Laundry Aides, but excluding all other employees, supervisors, managers and guards as defined in the Act."
9775,"Annapolis Bus Company, Inc.",05-RC-284207,Annapolis,MD,2021-10-08,"Region 05, Baltimore, Maryland",Closed,11/17/2021,Certific. of Representative,106.0,60.0,United Food and Commercial Workers Union MCGEO Local 1994,Included: All bus operators and bus operator aides (eMMA Vendor ID SUP146268)) Excluded: Supervisors and office/clerical employees
9776,Integrity National Corporation,27-RC-284253,Denver,CO,2021-10-08,"Region 27, Denver, Colorado",Closed,12/13/2021,Certific. of Representative,11.0,12.0,Service Employees International Union Local 105,Include: All full-time and regular part-time janitors. Exclude: All others
9779,"Centerra Group, LLC",14-RC-284203,Independence,MO,2021-10-08,"Region 14, Saint Louis, Missouri",Closed,01/04/2022,Certific. of Representative,44.0,15.0,"International Union, Security, Police and Fire Professionals of America (SPFPA)","Included: All full & part-time guards at the facility.
Excluded: Office clericals, professional employees, managers & supervisors as defined by NLRA"
9780,"Fred Meyer Stores, Inc.",19-RC-284235,Richland,WA,2021-10-08,"Region 19, Seattle, Washington",Closed,12/13/2021,Certific. of Representative,248.0,240.0,Teamsters Local 690,"Included: All full time and regular part time employees in Grocery, Meat, Deli/Starbucks, Produce/floral, Bakery, Clicklist, Home, Apparel, Nutrition, Health and Beauty (GM), CCK/Front End. Excluding: Pharmacy & Jewelry, all office and clerical workers, Security/Loss Prevention, HR and Managers as per the NLRA."
9781,Valiant Government Services LLC,31-RC-284233,Fort Irwin,CA,2021-10-08,"Region 31, Los Angeles, California",Closed,12/02/2021,Certific. of Representative,6.0,5.0,"Aerospace and Defense Industry Related District Lodge No. 725, IAM & AW","Included: All full-time hourly General Maintenance, Electricians, Plumbers, and HY AC 
employees employed at this location. 

Excluded: AII other employees, temporary workers, office clerical employees, and supervisors as defined by the Act."
9782,President and Trustees of Bates College,01-RC-284384,Lewiston,ME,2021-10-08,"Region 01, Boston, Massachusetts",Closed,05/02/2023,Certification of Results,487.0,652.0,,"Included:
All non-tenure and non-tenure track faculty and all staff not excluded below.
Excluded:
All managers, tenured and tenure track faculty, confidential employees, guards and sup"
9784,Berkshire VNA,01-RC-284178,Pittsfield,MA,2021-10-07,"Region 01, Boston, Massachusetts",Closed,01/03/2022,Certific. of Representative,61.0,66.0,MASSACHUSETTS NURSES ASSOCIATION,"Included: All full time, part time, and Per Diem Berkshire VNA RNs & Health Care Professionals
Excluded: Guards and supervisors, all other employees as defined by the Act."
9786,"Roger Baldwin Foundation of ACLU, Inc.",13-RC-284059,Chicago,IL,2021-10-06,"Region 13, Chicago, Illinois",Closed,01/25/2022,Certific. of Representative,23.0,25.0,National Organization of Legal Services Workers/United Auto Workers Local 2320,"Included positions:
Administrative Assistant,
Advocacy Administrative Manager, Annual Fund and Engagement Manager, Communications and Marketing Manager, Deputy Communications Director (vacant), Director of Criminal Justice Policy, Director of Institutional Giving, Director of Leadership  Gifts and Engagement Officer, Director of Systems Reform Policy, Finance Associate, Legal Assistant, Legal Fellow, Legal Manager, Office Manager, Philanthropy and Engagement Associate, Philanthropy and engagement Special Assistant (vacant), Policy and Advocacy Strategist, Staff Attorney

Excluded positions: Associate Director, Deputy Legal Director (vacant), Director of Advocacy and Intergovernmental Affairs, Director of Communications and Public Policy, Director of Finance, Director of LGBTQ & HIV Project, Director of Philanthropy and Engagement, Director of the Corrections Reform Project, Director of the Institutional Reform Project, Director of Women's and Reproductive Rights Project, Executive Administrator, Executive Director, Human Resources Manager (vacant), Legal Director, Senior Supervising Attorney

"
9787,"Durham School Services, LP",01-RC-284132,Trumbull,CT,2021-10-06,"Region 01, Boston, Massachusetts",Closed,01/03/2022,Certific. of Representative,5.0,5.0,Amalgamated Transit Union Local 1336,"Included:
All full-time and regular part-time dispatchers and mechanics/technicians employed by the
Employer at its facility currently located at 81 Spring Hill Road in Trumbull, Connecticut. 
Excluded:
All other employees, guards, managers, and supervisors as defined by the Act."
9788,HNS Management Company d/b/a CT Transit,01-RC-284055,Hartford,CT,2021-10-06,"Region 01, Boston, Massachusetts",Closed,03/11/2022,Certific. of Representative,14.0,14.0,"AMALGAMATED TRANSIT UNION LOCAL 425, AFL-CIO, CLC","Included
All full-time and regular part-time employees in the Planning & Scheduling Departments employed by
the Employer at its Hartford, CT facility. 
Excluded:
All fare inspectors, all other employees, guards, managers, and supervisors as defined in the Act."
9789,"Technica, LLC",28-RC-284104,Fort Bliss,TX,2021-10-06,"Region 28, Phoenix, Arizona",Closed,12/15/2021,Certific. of Representative,14.0,13.0,International Union of Operating Engineers Local 351,"Included: All hourly Material Coordinator, Gunsmith 3, QA/QC, Supply Tech., Heavy Equipment Mechanic Lead, Heavy Equipment Inspector Lead, Electronic Tech. 3, and Maintenance Helper employed by the employer Technica, LLC. at building #2941 in Fort Bliss, Tx. Excluded: All supervisors as defined by the Act."
9790,"Asplundh Tree Expert, L.L.C.",14-RC-284094,Nevada,MO,2021-10-06,"Region 14, Saint Louis, Missouri",Closed,12/20/2021,Certification of Results,9.0,9.0,International Brotherhood of Electrical Workers Local 53,"Included: All regular and part-time employees working in the classifications of Foreperson, Trimmer, Trainee, and Groundperson Excluded: Supervisors"
9791,Otis Elevator Company,20-RC-284109,Barrigada,GU,2021-10-06,"Region 20, San Francisco, California",Closed,01/06/2022,Certific. of Representative,15.0,16.0,"International Union of Elevator Constructors, AFL-CIO","Included: All full-time and regular part-time employees employed by the Employer on the Island
of Guam and the Northern Mariana Islands engaged in the service, repair,
modernization, construction and installation of elevators, escalators, and other
conveyance equipment.

Excluded: All other employees, salesmen, managers, office clericals, guards and supervisors as defined in the Act."
9792,GreenWorks Environmental LLC,22-RC-284119,Wall,NJ,2021-10-06,"Region 22, Newark, New Jersey",Closed,03/23/2022,Certification of Results,8.0,3.0,,"Included: Full time Environmental/Field Technicians and Crew Chief Excluded: All Office Personnel, Managers, Supervisors, Guards as defined in the act, and all other employees."
9794,"New Haven Ecology Project, Inc. d/b/a Common Ground",01-RC-283931,New Haven,CT,2021-10-05,"Region 01, Boston, Massachusetts",Closed,11/30/2021,Certific. of Representative,78.0,75.0,"Technical, Office and Professional Union, Local 2110, UAW","Included: All full time and regular part time professional and non-professional employees.
Excluded: Guards and supervisors as defined in the Act."
9795,"Safeway, Inc.",19-RC-284052,Portland,OR,2021-10-05,"Region 19, Seattle, Washington",Closed,01/24/2022,Dismissal Non-adjusted,,3.0,,Included: All pharmacy clerk and tech employees in Armour-Globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the Act.
9796,"Safeway, Inc.",19-RC-284053,Grants Pass,OR,2021-10-05,"Region 19, Seattle, Washington",Closed,12/21/2021,Dismissal Non-adjusted,,3.0,,Included: All pharmacy clerk and tech employees in Armour-Globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the Act.
9797,"Safeway, Inc.",19-RC-284054,Boring,OR,2021-10-05,"Region 19, Seattle, Washington",Closed,01/24/2022,Dismissal Non-adjusted,,3.0,,Included: All pharmacy clerk and tech employees in Armour-Globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the Act.
9798,"Garden Fresh Gourmet, LLC",07-RC-284045,Ferndale,MI,2021-10-05,"Region 07, Detroit, Michigan",Closed,12/28/2021,Certification of Results,165.0,115.0,"Local 876, United Food and Commercial Workers International Union (UFCW), AFL-CIO","Included: All Full Time and Regular Part Time General Laborers, Mixers, Team Leads, Runners, Sanitation Workers, Tomato Dampers, Production Workers, Machine Operators, Spicers, Warehouse Workers, Production Workers, Hi Lo Drivers, HPP, and Quality Control. 

Excluded: Managers, Maintenance, Office Clerical Employees, Guards and Supervisor as defined by the act."
9799,Bradley Technologies Incorporated d/b/a BTI Security,05-RC-283960,Washington,DC,2021-10-05,"Region 05, Baltimore, Maryland",Closed,12/23/2021,Certific. of Representative,28.0,25.0,Protective Service Officers United (PSOS United),"Included:  All Full & Part Time Guards at the facility.

Excluded:  Office clericals, professional employees, managers & supervisors as defined by the Act."
9800,"Temescal Wellness of Massachusetts, LLC",01-RC-283975,Framingham,MA,2021-10-05,"Region 01, Boston, Massachusetts",Closed,11/15/2021,Withdrawal Non-adjusted,,9.0,,"Included:  All full-time and regular part-time employees at the Framingham dispensary.  Excluded:  supervisors, managers, confidential employees, and guards as defined in the Act."
9801,Providence Regional Medical Center Everett,19-RC-284006,Everett,WA,2021-10-05,"Region 19, Seattle, Washington",Closed,12/01/2021,Certification of Results,11.0,11.0,"United Food and Commercial Workers Local 21 chartered by United Food and Commercial Workers International Union, AFL-CIO","Included: The Petitioner seeks to add through an Armour-Globe self-determination election all Emergency Department Crisis Counselors (EDCCs) employed by the employer at 1700 13th Street, Everett, WA 98201, to the existing Professional bargaining unit. Excluded: Excluding all guards, supervisors, managers, and confidential employees as defined by the Act."
9802,"Hunts Point Terminal Produce Cooperative Association, Inc.",02-RC-284061,Bronx,NY,2021-10-05,"Region 02, New York, New York",Closed,10/13/2021,Withdrawal Non-adjusted,,40.0,,"Included:
All full time and part time security guards

Excluded:
All other employees
"
9804,"NW Natural Water of Oregon, LLC",19-RC-284046,Sunriver,OR,2021-10-05,"Region 19, Seattle, Washington",Closed,12/13/2021,Certification of Results,14.0,13.0,,"Included: Utility Operator, Utility Mechanic, Utility Supervisor and Environmental Lead Excluded: All guards and supervisors as defined by the Act."
9805,Blackbelt Enterprises LLC d/b/a Scannavino Trucking,32-RC-284066,Stockton,CA,2021-10-05,"Region 32, Oakland, California",Closed,11/18/2021,Certific. of Representative,23.0,22.0,Teamsters Local 439,"Included:  All truck drivers employed by Al Scannavino Trucking, Inc.

Excluded:  All other employees, guards and supervisors"
9806,"Cherokee Freight Lines Stockton, LLC",32-RC-284098,Stockton,CA,2021-10-05,"Region 32, Oakland, California",Closed,11/18/2021,Certification of Results,29.0,31.0,,"Included:  All mechanics and wash rack or tank wash employees

Excluded:  All other employees, guards and supervisors"
9807,Fideicomiso Olímpico de Puerto Rico y/o Albergue Olímpico  de Puerto Rico,12-RC-283998,Salinas,PR,2021-10-05,"Region 12, Tampa, Florida",Closed,11/17/2021,Certific. of Representative,6.0,9.0,Programa De Solidaridad-Utier Inc. (ProSol-UTIER),"Included 
All part-time and full-time clerical/office employees employed by the Employer at its Salina, PR facility. 
				
Excluded: All other employees including service and maintance employees, executive,professional,confidential Employees, guards and supervisors as defined by the Act.
"
9808,"GARDA CL ATLANTIC, INC.",22-RC-283997,Edison,NJ,2021-10-05,"Region 22, Newark, New Jersey",Closed,12/10/2021,Certific. of Representative,88.0,70.0,SPECIAL AND SUPERIOR OFFICERS BENEVOLENT ASSOCIATION,"Included:  All full-time and regular part-time guards and driver/messengers.

Excluded:  All office clerical employees, cash vault employees, professional employees & Supervisors"
9809,"Asplundh Tree Expert, L.L.C.",14-RC-284000,Neosho,MO,2021-10-05,"Region 14, Saint Louis, Missouri",Closed,12/20/2021,Certific. of Representative,12.0,12.0,International Brotherhood of Electrical Workers Local 53,"Included: All regular and part-time employees working in the classifications of Foreperson, Trimmer, Trainee, and Groundperson Excluded: Supervisors"
9810,Lockheed Martin,28-RC-284012,Luke Air Force Base,AZ,2021-10-04,"Region 28, Phoenix, Arizona",Closed,10/26/2021,Withdrawal Non-adjusted,,50.0,,"INCLUDED: All full-time and regular part-time Aircraft Mechanics, Aircraft Mechanic 3, Aircraft Mechanic 4 and Lead Aircraft
Mechanics working in The 308th Fighter Squadron at Luke AFB

EXCLUDED: Managers, Supervisors, Clerical Workers, and all other employees including professional employees, managerial employees, guards, supervisors, and other employees as defined by the Act."
9811,CVS Caremark,20-RC-283889,San Mateo,CA,2021-10-04,"Region 20, San Francisco, California",Closed,11/17/2021,Certific. of Representative,20.0,20.0,"United Food & Commercial Workers Union, Local 5","Full-Time and part-time beauty advisors, store associates, pharmacy technicians, pharmacy lead technicians, store associate rx, shift supervisors, shift supervisors, rx, inventory specialists, home healthcare clerks, healthcare concierge. photo lab technicians and photo lab supervisors. .
 Excluding supervisors and guards."
9812,"Earth Treks Columbia Climbing Center, LLC",05-RC-283860,Arlington,VA,2021-10-04,"Region 05, Baltimore, Maryland",Closed,07/12/2022,Certific. of Representative,54.0,57.0,"Mid Atlantic Regional Joint Board, Workers United an affiliate of Service Employees International Union",Included: all regular full time and regular part time Excluded: supervisors as defined by the Act
9814,"Intrepid Museum Foundation, Inc.",02-RC-283879,Manhattan,NY,2021-10-04,"Region 02, New York, New York",Closed,12/20/2021,Certific. of Representative,28.0,28.0,Special and Superior Officers Benevolent Association,"Included:
All full time and regular part time security officers, gateman and evacuation office

Excluded:
Per diem security officers, locksmith and all other employees and supervisors

"
9815,Bates College,01-RC-283946,Lewiston,ME,2021-10-04,"Region 01, Boston, Massachusetts",Closed,10/13/2021,Withdrawal Non-adjusted,,113.0,,"Included:  All non-tenured and non-tenure track faculty, instructors, and lecturers. Excluded:  All managers, tenured and tenure track faculty, confidential employees, supervisors and guards as defined by the Act."
9816,"EMCOR Government Services, Inc.",05-RC-283887,Chantilly,VA,2021-10-04,"Region 05, Baltimore, Maryland",Closed,12/07/2021,Certific. of Representative,5.0,5.0,"International Union of Operating Engineers, Local 99, a/w International Union of Operating Engineers, AFL-CIO","Included: All fulltime and regular Part-time employees, employed by the employer in the Administrative and Logistics unit at the Dulles Discovery Center in Chantilly , VA. Excluded: All Professional employees, all managerial employees, all guards and supervisors as defined by the act."
9817,"Comprehensive Health Services, LLC (Trail House)",28-RC-283964,El Paso,TX,2021-10-04,"Region 28, Phoenix, Arizona",Closed,02/22/2022,Withdrawal Non-adjusted,,22.0,,Included: All hourly full-time Chaperone employees Excluded: All supervisors and leads as defined by the Act.
9818,"XPO Logistics Freight, Inc.",03-RC-283799,Albany,NY,2021-10-01,"Region 03, Buffalo, New York",Closed,11/18/2021,Certific. of Representative,36.0,33.0,"International Brotherhood of Teamsters, Local 294","Full-time & Regular part-time driver sales representative employees @ Albany terminal.  Excluded:  All other employees, guards and supervisors as defined in the Act."
9819,Fairview Health Services,18-RC-283830,Minneapolis,MN,2021-10-01,"Region 18, Minneapolis, Minnesota",Closed,11/29/2021,Certification of Results,8.0,10.0,SEIU Healthcare MN & IA,"Included:
Behavioral Assistants to be added to the existing non-professionals BU based on Armour-Globe
Excluded: All other employees"
9820,Chase Corporation,06-RC-283820,Pittsburgh,PA,2021-10-01,"Region 06, Pittsburgh, Pennsylvania",Closed,10/21/2021,Withdrawal Non-adjusted,,2.0,,"Included:  All Quality Control Lab Technicians

Excluded:  All Others"
9821,"Safeway, Inc.",19-RC-283824,Wilsonville,OR,2021-10-01,"Region 19, Seattle, Washington",Closed,11/29/2021,Certific. of Representative,4.0,5.0,"Bakery, Confectionery, Tobacco Workers and Grain Millers International Union Local 114, AFL-CIO, CLC","Included: All Production Bakers, Utility Bakers, Cake Decorators, and Assistant Bakery Manager. Excluded: All other employees."
9823,Impact Fire Services,27-RC-283867,Englewood,CO,2021-10-01,"Region 27, Denver, Colorado",Closed,12/09/2021,Certification of Results,9.0,7.0,,"Included: All full-time and regular part-time sprinkler fitters, apprentices, and helpers employed by the Employer at its Englewood, Colorado facility. Excluded: All other employees, alarm technicians, testing and inspection employees, office clericals, guards, and supervisors within the meaning of the Act."
9824,Triple Canopy Inc.,05-RC-283857,Washington,DC,2021-10-01,"Region 05, Baltimore, Maryland",Closed,12/02/2021,Certific. of Representative,32.0,10.0,"International Union, Security, Police and Fire Professionals of America (SPFPA)","Included:  All full-time and part-time armed and unarmed lieutenants performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by Triple Canopy @ St. Elizabeth Complex, Washington, DC.  Excluded:  All office clerical employees, professional employees and supervisors as defined by the Act."
9826,"Siertek, Ltd.",28-RC-283942,Tucson,AZ,2021-10-01,"Region 28, Phoenix, Arizona",Closed,12/08/2021,Certific. of Representative,4.0,4.0,"THE INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, LOCAL LODGE 2949 (IAM)","INCLUDED:  All full-time and regular part-time Material Support Technicians including leads employed by the Employer on the AMARG at Davis Monthan AFB, Tucson, AZ

EXCLUDED:  Managers, Supervisors,Clerical Workers, and all other employees, managerial employees, guards, supervisors, and other employees as defined by the Act."
9827,Albertsons LLC,19-RC-283726,Medford,OR,2021-09-30,"Region 19, Seattle, Washington",Closed,12/13/2021,Dismissal Non-adjusted,,5.0,,Included: All pharmacy clerk and tech employees in Armour-Globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the Act.
9828,Albertsons LLC,19-RC-283727,Portland,OR,2021-09-30,"Region 19, Seattle, Washington",Closed,01/24/2022,Dismissal Non-adjusted,,1.0,,Included: All pharmacy clerk and tech employees in Armour-Globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the Act.
9829,"Safeway, Inc.",19-RC-283728,Portland,OR,2021-09-30,"Region 19, Seattle, Washington",Closed,01/24/2022,Dismissal Non-adjusted,,4.0,,Included: All pharmacy clerk and tech employees in Armour-Globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the Act.
9830,"JSW Steel USA Ohio, Inc.",08-RC-283641,Mingo Junction,OH,2021-09-29,"Region 08, Cleveland, Ohio",Closed,11/04/2021,Withdrawal Adjusted,,175.0,,"All full and regular part time production and maintenance employees at the Employer's facility in Mingo Junction, Ohio but excluding temporary employees, office clerical and professional employees, guards and supervisors as defined in the Act.

"
9834,"Midwest Paper Retriever, LLC",13-RC-283661,Joliet,IL,2021-09-29,"Region 13, Chicago, Illinois",Closed,12/03/2021,Certification of Results,3.0,3.0,,"Included: Full time and regular part time drivers.

Excluded:

Guards, supervisors, and managers, and any other employees"
9835,"UNIVERSAL PROTECTION SERVICE, LP D/B/A ALLIED UNIVERSAL SECURITY SERVICES",16-RC-283690,San Antonio,TX,2021-09-29,"Region 16, Fort Worth, Texas",Closed,12/16/2021,Certific. of Representative,,71.0,"International Union, Security, Police, and Fire Professionals of America (SPFPA) and its Local No.100","Included: All full-time and part-time armed and unarmed security officers performing guard duties as defined in section 9(b)(3) of the National Labor Relations Act, Employed by Allied Universal @3530 General Hudnell Dr, San Antonio, TX 78226.

Excluded: All office clerical employees, professional employees and supervisors as defined in the Act."
9836,"Estron Chemical, Inc.",10-RC-283707,Calvert City,KY,2021-09-29,"Region 10, Atlanta, Georgia",Closed,12/09/2021,Certific. of Representative,41.0,39.0,"International Association of Machinists and Aerospace Workers, AFL-CIO, District Lodge 776","Included:  All full and regular part time maintenance technicians, warehouse workers, chemical operators, lead chemical operators, pilot plant chemical operators, and production clerk.

Excluded:  Office clerical employees, professional employees, managerial employees, guards, supervisors, as defined in the Act."
