,Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought,Fiscal Year
217,"Americold Logistics, LLC",32-RC-281041,Modesto,CA,2021-08-09,"Region 32, Oakland, California",Closed,12/13/2021,Certification of Results,6.0,5.0,Teamsters Local 386,"Included: All full-time and regular part-time maintenance employees employed at
the Employer’s facility located in Modesto, California.

Excluded: All managers, guards and supervisors as defined by the Act.",2021
218,"US Foods, Inc.",10-RC-281040,Charlotte,NC,2021-08-09,"Region 10, Atlanta, Georgia",Closed,09/30/2021,Withdrawal Non-adjusted,,5.0,,"Included: All Driver 
Excluded: Supervisors, managers, maintenance, warehouse, clerical/office, all non- driver.",2021
219,Allina Health System d/b/a United Hospital,18-RC-281063,Saint Paul,MN,2021-08-09,"Region 18, Minneapolis, Minnesota",Closed,09/29/2021,Certification of Results,27.0,30.0,SEIU Healthcare Minnesota,"Included:  Pharm Techs to be added to existing service & maintenance BU based on armour-globe.

Excluded:  All other employees.",2021
220,"US Foods, Inc.",10-RC-281058,Morganton,NC,2021-08-09,"Region 10, Atlanta, Georgia",Closed,11/03/2021,Certific. of Representative,73.0,70.0,"Teamsters Local 391 Affiliated with International Brotherhood of Teamsters, AFL-CIO","Included:  All drivers.

Excluded:  Supervisors, managers, maintenance, warehouse, clerical/office, all non-drivers.",2021
221,"Vancity Parking, Inc.",02-RC-280964,Manhattan,NY,2021-08-06,"Region 02, New York, New York",Closed,11/03/2021,Certification of Results,3.0,2.0,"Garage Employees Union, Local 272",Included: 2 Excluded: 0,2021
222,"Opici Family Distributing of Maryland, LLC",05-RC-280952,Baltimore,MD,2021-08-06,"Region 05, Baltimore, Maryland",Closed,09/17/2021,Certific. of Representative,7.0,7.0,"Warehouse, General Sales Drivers, Dairy, Bakery, Brewery, Soft Drink, Professional and Technical, Laundry, Linen and Allied Employees, Teamsters Local Union No. 570 a/w International Brotherhood of Teamsters","Included: All full-time and part-time warehouse drivers.

Excluded: All other classifications, clerical, temporary, supervisors and professional employees as defined under the Act.
",2021
223,"First Transit, Inc.",05-RC-280970,Glen Burnie,MD,2021-08-06,"Region 05, Baltimore, Maryland",Closed,09/28/2021,Certification of Results,3.0,3.0,,"Included: All full-time and regular part-time dispatchers employed at or out of First Transit’s facility in
Glen Burnie, Maryland. The Union seeks an Armour-Globe election.
Excluded: All other employees, guards, and supervisors under the Act.",2021
224,"Stealth Construction, Inc.",05-RC-280962,Sterling,VA,2021-08-06,"Region 05, Baltimore, Maryland",Closed,08/27/2021,Withdrawal Non-adjusted,,52.0,,"Included:  Laborers and power equipment operators in the DC Metropolitan area.

Excluded:  Foremen, office clericals, professional and management employees and supervisors.
",2021
225,"10 Roads Express, LLC",06-RC-281003,Warrendale,PA,2021-08-06,"Region 06, Pittsburgh, Pennsylvania",Closed,10/14/2021,Certific. of Representative,91.0,70.0,"General Teamsters, Chauffeurs and Helpers Local 249","Included: All Full-Time/Part-Time time drivers that are dispatched from and report to the Employer’s Trafford, Pittsburgh, and Warrendale locations.  
Excluded: All office clericals, guards, managers, and professional employees and supervisors as defined by the Act.",2021
226,Lattimore Materials Corp.,14-RC-280992,Stringtown,OK,2021-08-06,"Region 14, Saint Louis, Missouri",Closed,10/26/2021,Certification of Results,33.0,32.0,International Union of Operating Engineers Local 627,"Included:  Production & Maintenance Employees.  Excluded:  Guards, Clerical Employees & Supervisors",2021
227,"Tarzana Medical Center, LLC",31-RC-281017,Tarzana,CA,2021-08-06,"Region 31, Los Angeles, California",Closed,09/28/2021,Certific. of Representative,4.0,4.0,"SEIU Local 121RN, CTW, CLC","INCLUDED:  Lactation Consultants (Note: Petitioner seeks an Armour-Globe election to include employees into professional employees unit certified in Case No. 31-RC-5706)

EXCLUDED:  No changes to existing unit exclusions.
",2021
228,"Raymond-Southern California, Inc. and Raymond-San Diego, Inc.",21-RC-280955,Orange,CA,2021-08-06,"Region 21, Los Angeles, California",Closed,09/17/2021,Certific. of Representative,70.0,70.0,"Southwest Regional Council of Carpenters, United Brotherhood of Carpenters and Joiners of America","Included:  All employees performing drywall finishing and related word

Excluded:  All other employees",2021
229,"Marine Oil Service of New York, LLC",22-RC-280817,Elizabeth,NJ,2021-08-04,"Region 22, Newark, New Jersey",Closed,09/14/2021,Certific. of Representative,5.0,5.0,"INTERNATIONAL ORGANIZATION OF MASTERS, MATES & PILOTS","lncluded:

All full and part time Warehouse workers employed by the Employer.

Excluded:
All other employees including guards and supervisors as defined by the Act.",2021
230,Tuality Healthcare,19-RC-280859,Forest Grove,OR,2021-08-04,"Region 19, Seattle, Washington",Closed,10/04/2021,Certific. of Representative,16.0,16.0,Oregon AFSCME Council 75,"Included:  All service and technical employees.
Excluded:  All other employees, including managers, supervisors and guards.",2021
231,Liga Puertorriqueña Contra el Cancer,12-RC-280844,San Juan,PR,2021-08-04,"Region 12, Tampa, Florida",Closed,08/18/2021,Withdrawal Non-adjusted,,8.0,,"Included: All medical technologies and Physical Therapies assistant that work for the employer in the above name location.

Excluded: AII supervisor, managerial, security guard and all other excluded employees under the act.",2021
232,"HBC Management Services, Inc.",05-RC-280824,Arlington,VA,2021-08-04,"Region 05, Baltimore, Maryland",Closed,09/17/2021,Certific. of Representative,10.0,10.0,"International Union, Security, Police & Fire Professionals of America (SPFPA)","Included: All Full-time and Part-time Armed and Unarmed Transportation Officers performing guard duties as defined in Section 9(B)(3) of the National Labor Relations Act, employed by Hana Industry @ 1616 Fort Myers Dr., Arlington, VA 22209.

Excluded: All Office Clerical Employees, Professional Employees and Supervisors as defined by the Act.
",2021
233,"Camblin Steel Service, Inc.",32-RC-280849,Stockton,CA,2021-08-04,"Region 32, Oakland, California",Closed,08/20/2021,Withdrawal Non-adjusted,,23.0,,"Included: Production and maintenance employees.   
Excluded: All other employees, guards, office clerical and supervisors.",2021
234,"Omni Excavators, Inc.",05-RC-280884,Washington,DC,2021-08-04,"Region 05, Baltimore, Maryland",Closed,10/18/2021,Certific. of Representative,52.0,55.0,Construction and Master Laborers' Local Union 11,"Included:  Laborers, including foremen, power equipment operators, drivers, and traffic flaggers. Excluded: 
Office clericals, professionals, management employees, guards, and supervisors.",2021
235,"BROWN COUNTY RURAL WATER ASSOCIATION, INC.",09-RC-280878,Ripley,OH,2021-08-04,"Region 09, Cincinnati, Ohio",Closed,09/30/2021,Certific. of Representative,18.0,17.0,"Laborers' International Union of North America, Local 265","Included:  All full-time and part-time production and distribution workers.

Excluded:  All clerical and professional employees, guards, and supervisors.",2021
236,"BROWN COUNTY RURAL WATER ASSOCIATION, INC.",09-RC-280879,Ripley,OH,2021-08-04,"Region 09, Cincinnati, Ohio",Closed,09/30/2021,Certific. of Representative,2.0,2.0,"Laborers' International Union of North America, Local 265","Included:  All full-time and part-time office clerical workers.

Excluded:  All production & distribution workers, professional employees, guards, and supervisors.",2021
237,"Dillon Companies, Inc. d/b/a City Market",27-RC-280832,Fruita,CO,2021-08-03,"Region 27, Denver, Colorado",Closed,02/17/2022,Withdrawal Non-adjusted,3.0,2.0,"United Food and Commercial Workers, Local 7","Included: Deli Manager and Meat Manager at the Fruita, Colorado store in self-determination election to determine whether they will be represented by Petitioner and join the existing Grand Junction, Fruita, and Clifton Meat Bargaining Unit represented by Petitioner (Armour-Globe election) Excluded: Store Director, Assistant Store Director, all other employees, supervisors, security, confidential, and all temporary employees as defined in the Act.",2021
238,"Transdev Services, Inc.",01-RC-280837,Bridgeport,CT,2021-08-03,"Region 01, Boston, Massachusetts",Closed,10/14/2021,Certific. of Representative,4.0,4.0,Amalgamated Transit Union Local 1336,"Included:  All full-time and regular part-time customer service representatives working at or out of the Employer's current facility in Bridgeport, Ct.  The Union seeks Armour -Globe election.  Excluded:  All other employees, guards, and supervisors under the Act.",2021
239,The New York Times Company,02-RC-280769,New York,NY,2021-08-02,"Region 02, New York, New York",Closed,03/11/2022,Certific. of Representative,591.0,600.0,"The NewsGuild of New York, Local 31003, TNG/CWA","Included: All full-time and regular part-time engineers, analysts, designers, project managers, product managers, and assistants who perform work for the New York Times’ websites and mobile applications, wherever located in the United States Excluded: managers, supervisors and guards as defined by the Act",2021
240,United Rentals Electrical Solutions,13-RC-280770,Frankfort,IL,2021-08-02,"Region 13, Chicago, Illinois",Closed,08/12/2021,Withdrawal Non-adjusted,,3.0,,"Included:

All regular full- and part-time technicians and foremen.

Excluded:

All guards, supervisors, and clericals as defined by the Act.",2021
241,"James Bourlet, Inc. d/b/a Bourlet Art Logistics",29-RC-280841,Long Island City,NY,2021-08-02,"Region 29, Brooklyn, New York",Closed,09/01/2021,Certific. of Representative,7.0,6.0,"Local 814, International Brotherhood of Teamsters","Included: All full-time and regular part-time drivers and art installers employed by the Employer at 38-20 Review Avenue, Long Island City, New York 11101. 
 
Excluded: All other employees including warehouse employees, crate shop employees, managers, clerical employees, guards and supervisors as defined in the Act.
",2021
242,"Universal Protection Services, LP d/b/a Allied Universal Security Services",16-RC-280825,Palestine,TX,2021-08-02,"Region 16, Fort Worth, Texas",Closed,09/27/2021,Certific. of Representative,19.0,19.0,"International Union, Security, Police and Fire Professionals of America (SPFPA)","Included: All full-time and part-time armed and unarmed Transportation Officers performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by Allied Universal at 320 Sanderson Farms Pkwy., Palestine, TX  75803.

Excluded: All office clerical employees, professional employees ad supervisors as defined by the Act.",2021
243,SUNRISE BEACH CORPORATION D/B/A M2 SERVICES CORPORATION,16-RC-280839,Fort Hood,TX,2021-08-02,"Region 16, Fort Worth, Texas",Closed,10/18/2021,Certific. of Representative,89.0,93.0,"INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, AFL-CIO","INCLUDED: ALL FULL AND REGULAR PART-TIME AIRCRAFT MECHANIC II, AIRCRAFT MECHANIC III, AND PRODUCTION CONTROL CLERKS WORKING AT FORT HOOD, TX LOCATIONS.

EXCLUDED: OFFICE CLERICAL EMPLOYEES, PROFESSIONAL EMPLOYEES, MANAGERIAL EMPLOYEES, GUARDS, SUPERVISORS, AS DEFINED IN THE ACT.",2021
244,"4th Street Collective, Inc.",21-RC-280800,Long Beach,CA,2021-08-02,"Region 21, Los Angeles, California",Closed,09/14/2021,Certification of Results,20.0,18.0,,"Included:  All Part Time and Full Time Guest experience Leads and Specialist, Inventory Lead and Specialists, Admin. Specialist

Excluded:  All other employees, professional employees, guards, supervisors and all employment agency workers as defined by the Act.",2021
245,"Paragon Systems, Inc.",05-RC-280826,Washington,DC,2021-08-02,"Region 05, Baltimore, Maryland",Closed,11/01/2021,Certific. of Representative,23.0,20.0,"International Union, Security, Police, and Fire Professionals of America (SPFPA) and its Local No.100","Included:  All Private Security (PSO) Special Police Officer

Excluded:  Management",2021
246,"Stericycle, Inc.",22-RC-280662,Elizabeth,NJ,2021-07-30,"Region 22, Newark, New Jersey",Closed,10/19/2021,Certific. of Representative,27.0,24.0,,"Involved: All warehouse works., drivers, and dispatchers operating out of Elizabeth, New Jersey.

Excluded:
Managers, supervisors, and other employees excluded by the Act.",2021
247,"United Rentals, Inc.",04-RC-280650,Sicklerville,NJ,2021-07-30,"Region 04, Philadelphia, Pennsylvania",Closed,08/09/2021,Withdrawal Non-adjusted,,11.0,,"Included: all full time and part time mechanics, and yard personnel working at Employer's 668 Cross Keys Road Sicklerville location Excluded: all other employees",2021
248, The Solomon R. Guggenheim Foundation,02-RC-280661,New York,NY,2021-07-30,"Region 02, New York, New York",Closed,10/26/2021,Certific. of Representative,144.0,160.0,"Technical, Office and Professional Union, Local 2110 UAW, AFL-CIO","Included: All full-time and regular part time professional and non-professinal employees of the Employer.

Excluded: All employees already represented by another labor organization, and all managers and supervisors as defined by the Act.",2021
249,Big Green,27-RC-280668,Boulder,CO,2021-07-30,"Region 27, Denver, Colorado",Closed,05/11/2022,Dismissal Non-adjusted,,14.0,,Include: Program Coordinators and Project Managers Exclude: All others,2021
250,"Safeway, Inc.",19-RC-280752,Corvallis,OR,2021-07-30,"Region 19, Seattle, Washington",Closed,09/23/2021,Certification of Results,3.0,3.0,,"Included: All production Bakers, Utility Bakers, and Cake Decorators. Excluded: All other employees.",2021
251,"1 Emerson Drive South Operations LLC, d/b/a Kimberly Hall South",01-RC-280588,Windsor,CT,2021-07-29,"Region 01, Boston, Massachusetts",Closed,09/15/2021,Certific. of Representative,19.0,19.0,"NEW ENGLAND HEALTH CARE EMPLOYEES UNION, DISTRICT 1199, SEIU","Included: All full time, regular part time and per diem Licensed Practical Nurses.
Excluded: All other employees, all professional employees, all guards and supervisors.",2021
252,"Vulcan Heating and Air Conditioning Service, Inc.",10-RC-280592,Birmingham,AL,2021-07-29,"Region 10, Atlanta, Georgia",Closed,08/18/2021,Withdrawal Non-adjusted,,11.0,,"Included:  All full-time and regular part-time HVAC service technicians employed by the Employer at its 532 Mineral Trace, Birmingham, Alabama facility.

Excluded:  All other employees, office clerical employees, guards and supervisors as defined by the Act.",2021
253,"Paragon Systems, Inc.",05-RC-280637,Washington,DC,2021-07-29,"Region 05, Baltimore, Maryland",Closed,01/28/2022,Certific. of Representative,365.0,358.0,"International Union, Security, Police, and Fire Professionals of America (SPFPA) and its Local No.100","Included: All full-time and regular part-time security officers employed by the Employer at the National Institutes of Health campus in Bethesda, Maryland, and its related facilities in the State of Maryland.  

Excluded: All other employees, including all security officers employed at the National Institutes of Health Bayview facility in Baltimore, Maryland; all security officer trainees; office clerical employees; professional employees; managerial employees; and supervisors as defined by the Act.
",2021
254,"1 Emerson Drive North Operations LLC, d/b/a Kimberly Hall North",01-RC-280607,Windsor,CT,2021-07-29,"Region 01, Boston, Massachusetts",Closed,09/15/2021,Certific. of Representative,24.0,22.0,"NEW ENGLAND HEALTH CARE EMPLOYEES UNION, DISTRICT 1199, SEIU","Included: All full time, regular part time and per diem Registered Nurses and Licensed Practical Nurses.
Excluded: All other employees, all professional employees, all guards and supervisors.",2021
255,"HERZOG TRANSIT SERVICES, INC.",16-RC-280633,Irving,TX,2021-07-29,"Region 16, Fort Worth, Texas",Closed,09/27/2021,Certific. of Representative,43.0,39.0,AMERICAN TRAIN DISPATCHERS ASSOCIATION,"Included: All full-time and regular part-time employees that perform train, engine and yard services

Excluded: all other employees, supervisors, managers, guards, and confidential employees as defined by the Act",2021
256,25 Park Row Condominium,02-RC-280615,Manhattan,NY,2021-07-29,"Region 02, New York, New York",Closed,08/10/2021,Withdrawal Non-adjusted,,13.0,,"Included:
All building service workers

Excluded:
Statutory guards and supervisors

",2021
257,CenTrio Energy South LLC,15-RC-280545,New Orleans,LA,2021-07-28,"Region 15, New Orleans, Louisiana",Closed,11/24/2021,Certific. of Representative,14.0,11.0,UA Plumbers and Steamfitters Local Union 60,"Included: All full-time and regular part-time operators/stationary engineers and maintenance employees employed by the Employer out of its location at 1661 Gravier St., New Orleans, LA 70112

Excluded: All other employees, managers, office clericals, guards and supervisors as defined in the Act.",2021
258,"Tri-State Asphalt, LLC",25-RC-280548,Morris,IL,2021-07-28,"Region 25, Indianapolis, Indiana",Closed,10/18/2021,Certific. of Representative,21.0,20.0,Teamsters Local Union No. 179,"Included: Full time and regular part time drivers at the Morris, Illinois, asphalt plant.

Excluded: all other employees, supervisors, and managers.",2021
259,Priority One Services,27-RC-280568,Fort Collins,CO,2021-07-28,"Region 27, Denver, Colorado",Closed,08/10/2021,Withdrawal Non-adjusted,,2.0,,"Include: Animal Care Techs Exclude: Clerical Staff, Guards, and supervisors as defined in the Act.",2021
260,Bucks County Rescue Squad,04-RC-280441,Bristol,PA,2021-07-26,"Region 04, Philadelphia, Pennsylvania",Closed,08/30/2021,Certific. of Representative,16.0,25.0,"Fraternal Association of Professional Paramedics, Local 1","Included: all full-time and part-time Paramedics and EMT's Excluded: All office, clerical, guards, professional employees and supervisors as defined by the Act.",2021
261,UniFirst Corporation,14-RC-280407,Kansas City,MO,2021-07-26,"Region 14, Saint Louis, Missouri",Closed,09/27/2021,Certification of Results,12.0,13.0,International Brotherhood of Teamsters Local Union No. 955,"Included: All Full Time and Part Time Route Sales Professionals, route helpers, vacation relief drivers and other employees employed at the employers Kansas City Missouri Location. Excluded: supervisors as defined in the Act",2021
262,NYCL Acquisition LLC d/b/a New York Water Taxi,02-RC-280425,Manhattan,NY,2021-07-26,"Region 02, New York, New York",Closed,09/27/2021,Certification of Results,4.0,4.0,"INTERNATIONAL ORGANIZATION OF MASTERS, MATES & PILOTS","lncluded:

All full and part time Mechanics, Engineers, and Welders employed by the Employer.

Excluded:
All other employees including guards and supervisors as defined by the Act.",2021
263,"WellNow Urgent Care, PC",03-RC-280300,Syracuse,NY,2021-07-23,"Region 03, Buffalo, New York",Closed,11/01/2021,Withdrawal Adjusted,,148.0,,"Employees Included: All full-time, part-time and per diem Nurse Practitioners, Physician Assistants, Fellowship Providers, Family Nurse Practitioners, pediatric Nurse Practitioners, and Physician Assistants-Certified Employees. 

Excluded: Medical Doctors, Supervisors, and non-professional staff as defined by the Board.",2021
264,"KR Contracting, Inc.",05-RC-280391,Sterling,VA,2021-07-23,"Region 05, Baltimore, Maryland",Closed,08/10/2021,Withdrawal Non-adjusted,,25.0,,"Included: 
All full time and regular part time security officers employed by the employer.   
Excluded: 
All officer clerical employees, professional employees, lieutenants, and captain.",2021
265,"WTIC-TV (Hartford), a division of TEGNA Broadcast Holdings, LLC",01-RC-280371,Hartford,CT,2021-07-23,"Region 01, Boston, Massachusetts",Closed,10/21/2021,Certification of Results,16.0,17.0,,"Included: Full/Part Time Production Directors, Production Assistants, Production Technicians Excluded: All other employees, office clerical employees, and guards, professional employees and supervisors as defined in the Act.",2021
266,"Brent Electric Co., Inc.",14-RC-280405,Tulsa,OK,2021-07-23,"Region 14, Saint Louis, Missouri",Closed,09/23/2021,Certific. of Representative,15.0,14.0,International Brotherhood of Electrical Workers Local 584,"Included:  All electrical work, maintenance, and repair work done by Brent Electric.  Excluded:  Supervisors who actually perform statutory supervisor duties.",2021
267,Ascension Providence Hospital,07-RC-280415,Detroit,MI,2021-07-23,"Region 07, Detroit, Michigan",Closed,08/13/2021,Withdrawal Non-adjusted,,24.0,,"Included: Sterile Processing Techs

Excluded: Supervisors and all other employees defined by the Act.",2021
268,Mid-Columbia Medical Center,19-RC-280423,The Dalles,OR,2021-07-23,"Region 19, Seattle, Washington",Closed,10/04/2021,Certific. of Representative,72.0,43.0,"Oregon Federation of Nurses and Health Professionals, Local 5017, AFT, AFL-CIO","Included: All full time, regular part-time, and per diem technical employees employed by the employer in The Dalles, Oregon and Hood River, Oregon including all: radiology technologists, respiratory therapists, radiation therapists, certified surgical technologists, EKG technologists, echo technologists, and mammography technologists. Excluded: All other non-professional employees, professional employees, physicians, registered nurses, business office clerical employees, skilled maintenance employees, managers, guards, and supervisors as defined by the Act.",2021
269,Apple Bus Company,14-RC-280288,Wood River,IL,2021-07-22,"Region 14, Saint Louis, Missouri",Closed,10/01/2021,Certific. of Representative,32.0,22.0,"International Brotherhood of Teamsters, Local 525","Included:  All regular and part-time bus drivers and monitors.  Excluded:  Office clericals, guards and supervisors as defined by the Act.",2021
270,"Sunbelt Rentals, Inc.",03-RC-280276,West Seneca,NY,2021-07-22,"Region 03, Buffalo, New York",Closed,09/13/2021,Certification of Results,11.0,12.0,"International Union of Operating Engineers, Local 17, AFL-CIO","Included:  Shop Foreman, Lead Mechanic, Technicians, Yardman, Rental Specialist, Dispatch, Parts and Drivers.

Excluded:  Clerical, Outside Sales, and Professional Employees.",2021
271,Hudson Legal Group P.C.,06-RC-280280,Pittsburgh,PA,2021-07-22,"Region 06, Pittsburgh, Pennsylvania",Closed,12/02/2021,Dismissal Adjusted,,180.0,,"Included: Hourly employees in the United States including: Legal Writing Specialists, Senior Writing Specialists, Team Leads and Senior Editors, Team Lead Assistants and Senior Editors, Floating Team Lead Assistants and Senior Editors, Revisions Specialists, Revisions Specialist Team Leads, Case Administration Specialists and Receptionists, Case Administration Specialist Paralegals, Case Administration Specialists, US Forms Team Leads, Legal Assistants, Senior Paralegals, Paralegal Team Leads 

Excluded: Supervisors, Managerial Employees, Attorneys, Security Guards, and Confidential Employees as defined in the Act",2021
272,"Quaker Houghton PA, Inc.",07-RC-280298,Detroit,MI,2021-07-22,"Region 07, Detroit, Michigan",Closed,10/07/2021,Certific. of Representative,29.0,32.0,"International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO","Included:  All full time, part time and supplemental production and maintenance employees.

Excluded:  All other employees; office, clerical, guards and supervisors as defined in the Act.",2021
273,Paragon Systems Inc,06-RC-280312,Pittsburgh,PA,2021-07-22,"Region 06, Pittsburgh, Pennsylvania",Closed,09/24/2021,Certific. of Representative,65.0,70.0,"Paragon Protective Service Officers National Union PSONU, United Federation LEOS-PBA","Included: All full-time and regular part-time Security Officers performing guard duties as defined in section 9(b)(3) of the National Labor Relations Act, employed by Paragon Systems Inc under Employer’s Contract No. 70RFP318DE3000001 with the Department of Homeland Security, Federal Protective Service. 

Excluded: All office clerical employees, professional employees and supervisors as defined by the Act.",2021
274,Millwood Incorporated,03-RC-280193,Rochester,NY,2021-07-21,"Region 03, Buffalo, New York",Closed,08/09/2021,Withdrawal Non-adjusted,,26.0,,"All full-time & regular part-time production and maintenance workers.
Excluded:  All clerical, temporary employees, managers, guards & supervisors as defined by the Act.",2021
275,"KR Contracting, Inc.",05-RC-280227,Sterling,VA,2021-07-21,"Region 05, Baltimore, Maryland",Closed,07/26/2021,Withdrawal Non-adjusted,,25.0,,"Included: 
All full time and regular part time security officers employed by the employer  
Excluded: 
All officer clerical employees, professional employees, lieutenants, and captain",2021
276,Volunteers of Legal Service,02-RC-280217,New York,NY,2021-07-21,"Region 02, New York, New York",Closed,08/02/2021,Withdrawal Non-adjusted,,11.0,,"Included:
All full-time and regular part-time employees employed by the Employer including: staff attorney, law graduate, legal assistant, fellow, data, impact and community outreach manager, community advocate.

Excluded:
Office manager, directors, supervising attorney, AmeriCorps VISTA, interns, confidential employees, managerial employees and supervisors under the Act.",2021
277,"City Winery NY - Pier 57, LLC",02-RC-280252,New York,NY,2021-07-21,"Region 02, New York, New York",Closed,09/09/2021,Certification of Results,7.0,4.0,"Theatrical Protective Union, Local No. One, IATSE, AFL-CIO","Included:
All Production Technicians employed by the Employer.

Excluded:
All other employees, including all clerical workers, managers, guards, and supervisors as defined by the Act.",2021
278,Bull Moose Music,01-RC-280253,Salem,NH,2021-07-21,"Region 01, Boston, Massachusetts",Closed,09/22/2021,Certific. of Representative,21.0,25.0,United Food and Commercial Workers International Union,"Included: All Staff, Keyholders (Shift Supervisors), Head Clerks, Assistant Store Managers Excluded: Store Manager",2021
279,"Garfield Beach CVS, LLC d/b/a CVS Pharmacy",21-RC-280239,Hemet,CA,2021-07-21,"Region 21, Los Angeles, California",Closed,10/05/2021,Certification of Results,11.0,8.0,,"Included:  All full-time and part-time retail clerks including cashiers, pharmacy technicians, pharmacy lead technicians, pharmacy service assosciates, pharmacy trainer, pharmacy trainees, PSA intern Pharmacists, under graduate Interns, shift supervisors, stock room supervisors in Xmas stores, photo lab technicians and photo lab supervisors, coordinators, Beauty Advisors, Inventory Specialists

Excluded:  Managers, store team leaders, assistant managers, nurse practitioners, physicians assistants, guards.",2021
280,"N & R of Poplar Bluff, Inc. dba Mark Twain Caring Center",14-RC-280156,Poplar Bluff,MO,2021-07-20,"Region 14, Saint Louis, Missouri",Closed,10/15/2021,Certific. of Representative,33.0,62.0,United Food and Commercial Workers Union Local 655,"Included: All nursing aides, housekeepers, laundry aides, dietary aides, transportation aides, med techs, and LPNs Excluded: All Registered Nurses, clerical and secretarial workers, bookkeepers, payroll, and all administrators",2021
281,"Culpepper & Associates Security Services, Inc.",10-RC-280204,College Park,GA,2021-07-20,"Region 10, Atlanta, Georgia",Closed,09/30/2021,Certific. of Representative,13.0,14.0,"International Union, Security, Police and Fire Professionals of America (SPFPA)","Included: All Full-Time and Part-Time Armed and Unarmed Security Officers Performing Guard Duties As Defined In Section 9(b)(3) of The National Labor Relations Act, Employed by Culpepper Associates Security Services @ 1701 Columbia Ave, College Park, GA 30337

Excluded: All Office Clerical Employees, Professional Employees and Supervisors as Defined by the Act.
",2021
282,Prep & Pastry Restaurant LLC,28-RC-280235,Tucson,AZ,2021-07-20,"Region 28, Phoenix, Arizona",Open,,,41.0,60.0,"United Food & Commercial Workers International Union, Local 99, AFL-CIO, CLC","INCLUDED:  All full-time and part-time kitchen employees, line cooks, prep cooks, dishwashers, bussers, servers, hostess, bakers and bartenders

EXCLUDED:  All other employees, office clerical employees, guards and supervisors as defined by the Act.",2021
283,Paragon Systems Inc,06-RC-280088,Harrisburg,PA,2021-07-19,"Region 06, Pittsburgh, Pennsylvania",Closed,09/13/2021,Certific. of Representative,47.0,40.0,"Paragon Protective Service Officers National Union PSONU, United Federation LEOS-PBA","Included: All full-time and regular part-time Security Officers, Guards, Security Police Officers, performing guard duties as defined in section 9(b)(3) of the National Labor Relations Act, employed by Paragon Systems Inc @ various locations throughout Central Pennsylvania. Excluded: All office clerical employees, professional employees and supervisors as defined by the Act.",2021
284,"Keurig Green Mountain, Inc.",05-RC-279973,Windsor,VA,2021-07-16,"Region 05, Baltimore, Maryland",Closed,10/08/2021,Certification of Results,387.0,400.0,,"Included: All full-time and regular part time production and maintenance employees, including plant clericals, and employees in the following departments: Coffee Processing, Production, Shipping and Receiving, and Facilities/Maintenance. 

Excluded: Office clericals, temporary employees, coaches, quality personnel, subcontracted employees, managers, drivers, guards, and supervisors as defined in the Act.
",2021
285,"Chenega Infinity, LLC",05-RC-279989,Cheltenham,MD,2021-07-16,"Region 05, Baltimore, Maryland",Closed,10/06/2021,Certific. of Representative,28.0,28.0,"International Union, Security, Police and Fire Professionals of America (SPFPA)","Included:  All full-time and part-time armed and unarmed dispatchers, commercial vehicle inspectors and security officers performing guard duties as defined in section 9(b)(3) of the National Labor Relations Act, employed by Chenega Infinity, LLC at 9000 Commo Rd, Bldg 6, Cheltenham, MD 20623.  Excluded:  All office clerical employees, professional employees and supervisors as defined by the Act.",2021
286,Democracy Works,29-RC-280194,Brooklyn,NY,2021-07-16,"Region 29, Brooklyn, New York",Closed,08/11/2021,Withdrawal Non-adjusted,,36.0,,"Included: All full-time and regular part-time employees of the Employer.

Excluded: All guards, supervisors, and managerial employees as defined by the Act.",2021
287,Tower Isles Frozen Foods Ltd.,29-RC-280172,Brooklyn,NY,2021-07-16,"Region 29, Brooklyn, New York",Closed,10/29/2021,Certific. of Representative,68.0,60.0,"Local 621, United Construction Trades & Industrial Employees Union (U.C.T.I.E)","Included: All regular full-time and part-time production, maintenance, shipping and

Excluded: All other employees including office clerical employees, sales employees,",2021
288,Lourdes Hospital LLC d/b/a Lourdes Counseling Center,19-RC-280018,Richland,WA,2021-07-16,"Region 19, Seattle, Washington",Closed,12/01/2021,Certification of Results,,31.0,,"Employees Included: The Petitioner seeks to add through a self-determination election all Perdiems in the Adult Psychiatric and Transitions inpatient units, including the following job titles: Care Coordinators, Case Managers,Court Coordinators, Health Unit Coordinators, Mental Health Aides, Mental Health Counselors, Mental Health Professionals, Registered Nurses, Secretaries, and Therapist employed by the employer at 1175 Carondelet Dr, Richland, WA 99354, to the existing bargaining unit. Employees Excluded: Excluding all guards, supervisors, managers and confidential employees as defined by the Act",2021
