,Region,Case Number,Case ID,Case Name,Case Type,Dispute Unit City,Dispute Unit State,Election Held Date,Num Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,Stipulated / Consent / Directed,Cert of Rep (Win),Cert of Results (Loss),Closed Date,Closed Reason,Year,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
1207,04,04-RC-286591,,GFP Mobile Mix Supply LLC,RC,Wilmington,DE,2021-12-20 00:00:00,10,3,7,"International Union of Operating Engineers, Local 542",Stipulated,WON,,2022-02-01 00:00:00,Certific. of Representative,2022,,,,,
1208,04,04-RC-286606,,B. Braun Medical Inc.,RC,Breinigsville,PA,2022-01-05 00:00:00,69,42,16,Teamster Local Union No. 773,Stipulated,,LOSS,2022-02-15 00:00:00,Certification of Results,2022,,,,,
1209,04,04-RC-286984,,"Brandywine Stormwater, LLC",RC,West Chester,PA,2022-01-07 00:00:00,6,2,3,Laborers' District Council Metropolitan Area of Phila. & Vicinity,Stipulated,WON,,2022-02-14 00:00:00,Certific. of Representative,2022,,,,,
1210,04,04-RC-287033,,"Bacharach Institute for Rehabilitation, Inc.",RC,Pomona,NJ,2022-01-07 00:00:00,13,4,9,United Food and Commercial Workers Local 152,Stipulated,WON,,2022-02-09 00:00:00,Certific. of Representative,2022,,,,,
1211,04,04-RC-287758,,"Ray S.F. Inc., d/b/a FreezPak Logistics",RC,Philadelphia,PA,2022-01-26 00:00:00,9,0,0,"Warehouse Employees Union Local 169, a/w International Brotherhood of Teamsters",Stipulated,,LOSS,2022-03-02 00:00:00,Certification of Results,2022,,,,,
1212,04,04-RC-287766,,"Congo Brands, LLC",RC,Philadelphia,PA,2022-01-21 00:00:00,10,5,0,Teamsters Local 830,Stipulated,,LOSS,2022-03-02 00:00:00,Certification of Results,2022,,,,,
1213,04,04-RC-288059,,"Riverstreet Center Opco, LLC",RC,Wilkes-Barre,PA,2022-02-09 00:00:00,38,3,19,"Retail, Wholesale, Department Store Union, Local 262 (RWDSU/UFCW)",Stipulated,WON,,2022-03-17 00:00:00,Certific. of Representative,2022,,,,,
1214,04,04-RC-288206,,"Riverstreet Center Opco, LLC",RC,Wilkes-Barre,PA,2022-02-09 00:00:00,17,1,7,"Retail, Wholesale, Department Store Union, Local 262 (RWDSU/UFCW)",Stipulated,WON,,2022-03-17 00:00:00,Certific. of Representative,2022,,,,,
1215,04,04-RC-288505,,"Pitman Manor, Inc.",RC,Pitman,NJ,2022-02-10 00:00:00,19,1,13,"Health Professionals and Allied Employees, AFT/AFL-CIO",Stipulated,WON,,2022-03-15 00:00:00,Certific. of Representative,2022,,,,,
1216,04,04-RC-289231,,"Duct Doctor of Southern New Jersey, LLC",RC,Cherry Hill,NJ,2022-02-09 00:00:00,5,0,5,"SMART, Sheet Metal Workers Local 19",Stipulated,WON,,2022-03-17 00:00:00,Certific. of Representative,2022,,,,,
1217,04,04-RC-289414,,FlightSafety Defense Corporation,RC,McGuire AFB,NJ,2022-02-18 00:00:00,10,0,10,"International Association of Machinists and Aerospace Workers, AFL-CIO, District Lodge 1",Stipulated,WON,,2022-03-29 00:00:00,Certific. of Representative,2022,,,,,
1218,04,04-RC-289708,,Starbucks Corporation,RC,Philadelphia,PA,2022-05-02 00:00:00,19,10,4,"Workers United, SEIU",Directed,,LOSS,2022-06-03 00:00:00,Certification of Results,2022,,,,,
1219,04,04-RC-289746,,Starbucks Corporation,RC,Philadelphia,PA,2022-05-02 00:00:00,17,2,7,"Workers United, SEIU",Directed,WON,,2022-06-03 00:00:00,Certific. of Representative,2022,,,,,
1220,04,04-RC-290050,,"Albert’s Organics, Inc.",RC,Logan,NJ,2022-03-18 00:00:00,25,10,14,Teamsters Local 676,Stipulated,WON,,2022-03-28 00:00:00,Certific. of Representative,2022,,,,,
1221,04,04-RC-290056,,Starbucks Corporation,RC,Philadelphia,PA,2022-05-02 00:00:00,18,0,11,"Workers United, SEIU",Directed,WON,,2022-06-03 00:00:00,Certific. of Representative,2022,,,,,
1222,04,04-RC-290064,,Starbucks Corporation,RC,Philadelphia,PA,2022-05-02 00:00:00,24,0,10,"Workers United, SEIU",Directed,WON,,2022-06-03 00:00:00,Certific. of Representative,2022,,,,,
1223,04,04-RC-290738,,"Carneys Point Rehabilitation and Nursing Center, LLC",RC,Carneys Point,NJ,2022-03-30 00:00:00,25,5,10,Teamsters Local 830,Stipulated,WON,,2022-04-07 00:00:00,Certific. of Representative,2022,,,,,
1224,04,04-RC-290883,,PBF Logistics Products Terminals LLC,RC,Philadelphia,PA,2022-03-23 00:00:00,13,6,7,United Steelworkers District 10 Local 286,Stipulated,WON,,2022-04-01 00:00:00,Certific. of Representative,2022,,,,,
1225,04,04-RC-291117,,"SMNRC, LP, d/b/a Shenandoah Senior Living Community",RC,Shenandoah,PA,2022-04-07 00:00:00,23,7,16,"SEIU Healthcare Pennsylvania, CTW, CLC",Stipulated,WON,,2022-04-15 00:00:00,Certific. of Representative,2022,,,,,
1226,04,04-RC-291561,,"Good Karma Enterprises LLC, Good Karma 3, LLC, Good Karma 4, LLC, and 928 Pine Coffee LLC, d/b/a Goo",RC,Philadelphia,PA,2022-03-31 00:00:00,29,3,20,"Philadelphia Joint Board, Workers United a/w SEIU",Stipulated,WON,,2022-04-08 00:00:00,Certific. of Representative,2022,,,,,
1227,04,04-RC-291642,,Columbia Care New Jersey LLC d/b/a Cannabist,RC,Deptford,NJ,2022-04-18 00:00:00,15,1,14,"United Food & Commercial Workers Union, Local 360",Stipulated,WON,,2022-04-26 00:00:00,Certific. of Representative,2022,,,,,
1228,04,04-RC-291741,,"Hershocks, Inc.",RC,Harrisburg,PA,2022-03-31 00:00:00,26,19,7,IUPAT DC21/Local Union 252 Glaziers and Glassworkers,Stipulated,,LOSS,2022-04-08 00:00:00,Certification of Results,2022,,,,,
1229,04,04-RC-291798,,Starbucks Corporation,RC,Philadelphia,PA,2022-05-02 00:00:00,26,1,10,Workers United a/w SEIU,Directed,WON,,2022-06-03 00:00:00,Certific. of Representative,2022,,,,,
1230,04,04-RC-291811,,Lehigh Industrial Maintenance LLC,RC,Palmerton,PA,2022-04-14 00:00:00,7,2,5,"International Union of Operating Engineers, Local 542",Stipulated,WON,,2022-05-10 00:00:00,Certific. of Representative,2022,,,,,
1231,04,04-RC-292545,,"SDH Services East, LLC, a subsidiary of Sodexo, Inc.",RC,Philadelphia,PA,2022-05-25 00:00:00,24,7,11,"District 1199C, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",Directed,WON,,2022-06-03 00:00:00,Certific. of Representative,2022,,,,,
1232,04,04-RC-292608,,"Old City Coffee, Inc.",RC,Philadelphia,PA,2022-04-21 00:00:00,28,15,13,"Philadelphia Joint Board, Workers United a/w SEIU",Stipulated,,LOSS,2022-05-03 00:00:00,Certification of Results,2022,,,,,
1233,04,04-RC-293535,,"Reading Behavioral Healthcare, LLC, d/b/a Tower Behavioral Health",RC,Reading,PA,2022-05-12 00:00:00,98,39,13,"Service Employees International Union, Local 668",Stipulated,,LOSS,2022-06-21 00:00:00,Certification of Results,2022,,,,,
1234,04,04-RC-293959,,Starbucks Corporation,RC,Philadelphia,PA,2022-05-19 00:00:00,13,1,6,Workers United a/w SEIU,Stipulated,WON,,2022-06-29 00:00:00,Certific. of Representative,2022,,,,,
1235,04,04-RC-294422,,"Aramark Educational Services, LLC at Kutztown University",RC,Kutztown University,PA,2022-06-01 00:00:00,97,21,37,"Pennsylvania Joint Board, Workers United, SEIU",Stipulated,WON,,2022-07-11 00:00:00,Certific. of Representative,2022,,,,,
1236,04,04-RC-295306,,"DFA Dairy Brands, LLC",RC,Florence (Township),NJ,2022-06-17 00:00:00,30,13,10,Teamsters Local Union 463,Stipulated,,LOSS,2022-07-26 00:00:00,Certification of Results,2022,,,,,
1237,04,04-RC-295653,,"10 Roads Express, LLC",RC,Harrisburg,PA,2022-06-13 00:00:00,102,31,45,"American Postal Workers Union, AFL-CIO",Stipulated,WON,,2022-07-27 00:00:00,Certific. of Representative,2022,,,,,
1238,04,04-RC-296682,,Warrington Community Ambulance Corp.,RC,Warrington,PA,2022-06-28 00:00:00,22,5,4,International Association of EMTs and Paramedics,Stipulated,,LOSS,2022-08-05 00:00:00,Certification of Results,2022,,,,,
1239,04,04-RC-297037,,Starbucks Corporation,RC,Philadelphia,PA,2022-07-13 00:00:00,23,13,3,Workers United a/w Service Employees International Union,Stipulated,,LOSS,2022-07-21 00:00:00,Certification of Results,2022,,,,,
1240,04,04-RC-298161,,The Gardens Operator LLC d/b/a Eagleview Health and Rehabilitation,RC,Pittsgrove,NJ,2022-07-29 00:00:00,4,2,0,"United Food and Commercial Workers Union, Local 152",Stipulated,,LOSS,2022-09-01 00:00:00,Certification of Results,2022,,,,,
1241,04,04-RC-298274,,"U.S. Facilities, Inc.",RC,North Wales,PA,2022-08-03 00:00:00,15,7,5,Steamfitters Local Union No. 420 of the United Association of Journeymen and Apprentices of the Plumbing & Pipefitting Industry of the United States and Canada,Stipulated,,LOSS,2022-09-09 00:00:00,Certification of Results,2022,,,,,
1242,04,04-RC-298325,,"Bowls Holdings Philadelphia, LLC d/b/a Brooklyn Bowl Philadelphia",RC,Philadelphia,PA,2022-07-29 00:00:00,43,0,23,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories, and Canada, AFL-CIO, CLC, (IATSE), Local 8",Stipulated,WON,,2022-09-07 00:00:00,Certific. of Representative,2022,,,,,
1243,04,04-RC-298559,,Cape Physicians Associates P.A. d/b/a Cape Regional Physicians Associates,RC,Cape May Court House,NJ,2022-08-10 00:00:00,83,27,38,"United Food and Commercial Workers Union, Local 152",Stipulated,WON,,2022-09-15 00:00:00,Certific. of Representative,2022,,,,,
1244,04,04-RC-299012,,"Battle’s Transportation, Inc.",RC,Philadelphia,PA,2022-08-05 00:00:00,9,0,5,United Independent Union,Stipulated,WON,,2022-09-09 00:00:00,Certific. of Representative,2022,,,,,
1245,04,04-RC-299800,,"Philadelphia Building Associates, LLC",RC,Philadelphia,PA,2022-08-12 00:00:00,2,1,0,"SMART, Sheet Metal Workers Local 19",Stipulated,,LOSS,2022-09-15 00:00:00,Certification of Results,2022,,,,,
1246,04,04-RD-280891,,"Siemens Gamesa Renewable Energy, Inc.",RD,Fairless Hills,PA,2021-10-07 00:00:00,6,3,1,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC.",Stipulated,,LOSS,2021-10-25 00:00:00,Certification of Results,2022,,,,,
1247,04,04-RD-285496,,"Jones Lang LaSalle Americas, Inc.",RD,Townsend,DE,2022-01-03 00:00:00,21,14,5,"International Union of Operating Engineers Local 542, AFL-CIO",Stipulated,,LOSS,2022-01-11 00:00:00,Certification of Results,2022,,,,,
1248,04,04-RD-288944,,"Comcast Cable Communications Management, LLC",RD,Colonial Park,PA,2022-02-18 00:00:00,47,24,21,International Brotherhood of Electrical Workers Local 1600,Stipulated,,LOSS,2022-03-28 00:00:00,Certification of Results,2022,,,,,
1249,04,04-RD-288960,,"Express Scripts, Inc.",RD,Burlington,NJ,2022-02-04 00:00:00,32,23,0,"International Union of Operating Engineers, Local 68, AFL-CIO",Stipulated,,LOSS,2022-03-14 00:00:00,Certification of Results,2022,,,,,
1250,04,04-RD-291612,,"Sunoco Logistics Partners GP, LLC",RD,Aston,PA,2022-04-04 00:00:00,9,7,0,"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial & Service Workers International Union, AFL-CIO-CLC (USW)",Stipulated,,LOSS,2022-05-11 00:00:00,Certification of Results,2022,,,,,
1251,"05, 05 WDC",05-RC-261239,,"Aclara Smart Grid Solutions, LLC",RC,Richmond,VA,2020-07-10 00:00:00,17,8,12,"Local Union No. 666, International Brotherhood of Electrical Workers, AFL-CIO",Stipulated,WON,,2022-02-11 00:00:00,Certific. of Representative,2022,,,,,
1252,"05, 05 WDC",05-RC-279327,,"LAZ Parking Mid Atlantic, LLC, d/b/a LT Transportation",RC,Washington,DC,2022-04-05 00:00:00,62,7,27,"Amalgamated Transit Union, AFL-CIO/CLC",Directed,WON,,2022-05-06 00:00:00,Certific. of Representative,2022,,,,,
1253,"05, 05 WDC",05-RC-279973,,"Keurig Green Mountain, Inc.",RC,Windsor,VA,2021-09-02 00:00:00,387,212,76,"Retail, Wholesale, and Department Store Union, United Food and Commercial Workers Union",Stipulated,,LOSS,2021-10-08 00:00:00,Certification of Results,2022,,,,,
1254,"05, 05 WDC",05-RC-279989,,"Chenega Infinity, LLC",RC,Cheltenham,MD,2021-08-25 00:00:00,28,0,9,"International Union, Security, Police and Fire Professionals of America (SPFPA)",Stipulated,WON,,2021-10-06 00:00:00,Certific. of Representative,2022,,,,,
1255,"05, 05 WDC",05-RC-280884,,"Omni Excavators, Inc.",RC,Washington,DC,2021-09-17 00:00:00,52,0,16,Construction and Master Laborers' Local Union 11,Stipulated,WON,,2021-10-18 00:00:00,Certific. of Representative,2022,,,,,
1256,"05, 05 WDC",05-RC-281273,,Washington Hospital Center Corporation d/b/a Medstar Washington Hospital Center,RC,Washington,DC,2021-09-27 00:00:00,58,32,12,"International Union, Security, Police and Fire Professionals of America (SPFPA)",Stipulated,,LOSS,2021-10-28 00:00:00,Certification of Results,2022,,,,,
1257,"05, 05 WDC",05-RC-281306,,Shenandoah Valley Electric Cooperative,RC,Harrisonburg,VA,2021-09-20 00:00:00,114,70,24,"Electrical Workers IBEW, AFL-CIO, Local 1900 a/w International Brotherhood of Electrical Workers",Stipulated,,LOSS,2021-10-21 00:00:00,Certification of Results,2022,,,,,
1258,"05, 05 WDC",05-RC-282516,,"Dynamic Concepts, Inc.",RC,Washington,DC,2022-08-19 00:00:00,30,14,15,Construction and Master Laborers' Local Union 11,Stipulated,WON,,2022-08-29 00:00:00,Certific. of Representative,2022,,,,,
1259,"05, 05 WDC",05-RC-283274,,"Griffith Energy Services, Inc.",RC,Baltimore,MD,2021-10-21 00:00:00,21,4,15,Teamsters Local 570 a/w International Brotherhood of Teamsters,Stipulated,WON,,2021-10-29 00:00:00,Certific. of Representative,2022,,,,,
1260,"05, 05 WDC",05-RC-283857,,Triple Canopy Inc.,RC,Washington,DC,2021-11-02 00:00:00,32,0,7,"International Union, Security, Police and Fire Professionals of America (SPFPA)",Stipulated,WON,,2021-12-02 00:00:00,Certific. of Representative,2022,,,,,
1261,"05, 05 WDC",05-RC-283860,,"Earth Treks Columbia Climbing Center, LLC",RC,Arlington,VA,2021-11-16 00:00:00,54,14,28,"Mid Atlantic Regional Joint Board, Workers United an affiliate of Service Employees International Union",Stipulated,WON,,2022-07-12 00:00:00,Certific. of Representative,2022,,,,,
1262,"05, 05 WDC",05-RC-283887,,"EMCOR Government Services, Inc.",RC,Chantilly,VA,2021-11-08 00:00:00,5,0,2,"International Union of Operating Engineers, Local 99, a/w International Union of Operating Engineers, AFL-CIO",Stipulated,WON,,2021-12-07 00:00:00,Certific. of Representative,2022,,,,,
1263,"05, 05 WDC",05-RC-284207,,"Annapolis Bus Company, Inc.",RC,Annapolis,MD,2021-11-08 00:00:00,106,29,49,United Food and Commercial Workers Union MCGEO Local 1994,Stipulated,WON,,2021-11-17 00:00:00,Certific. of Representative,2022,,,,,
1264,"05, 05 WDC",05-RC-284453,,"Golden SVCS, LLC",RC,Suitland,MD,2021-11-10 00:00:00,73,0,21,Union Rights for Security Officers (URSO),Stipulated,WON,,2021-12-22 00:00:00,Certific. of Representative,2022,,,,,
1265,"05, 05 WDC",05-RC-284499,,"Marriott Hotel Services, Inc.",RC,National Harbor,MD,2021-12-01 00:00:00,112,0,54,"International Union, Security Police & Fire Professionals of America (SPFPA)",Directed,WON,,2022-01-03 00:00:00,Certific. of Representative,2022,,,,,
1266,"05, 05 WDC",05-RC-284743,,Leadership for Educational Equity,RC,Washington,DC,2021-11-22 00:00:00,113,42,51,"International Association of Machinists & Aerospace Workers, AFL-CIO, Western Territory",Stipulated,WON,,2021-12-29 00:00:00,Certific. of Representative,2022,,,,,
1267,"05, 05 WDC",05-RC-285668,,"EMCOR Government Services, Inc.",RC,Washington,DC,2021-12-08 00:00:00,2,0,1,"International Union of Operating Engineers, Local 99, a/w International Union of Operating Engineers, AFL-CIO",Stipulated,WON,,2022-01-06 00:00:00,Certific. of Representative,2022,,,,,
1268,"05, 05 WDC",05-RC-285988,,"Paragon Systems, Inc.",RC,Washington,DC,2021-12-06 00:00:00,10,0,8,Protective Service Officers United (PSOs United),Stipulated,WON,,2022-01-04 00:00:00,Certific. of Representative,2022,,,,,
1269,"05, 05 WDC",05-RC-286359,,"Catonsville Healthcare, LLC d/b/a Forest Haven Nursing and Rehabilitation Center",RC,Catonsville,MD,2021-12-21 00:00:00,6,0,2,"1199 SEIU, United Healthcare Workers East",Stipulated,WON,,2022-01-24 00:00:00,Certific. of Representative,2022,,,,,
1270,"05, 05 WDC",05-RC-286364,,"Epes Transport Systems, LLC.",RC,Chester,VA,2021-12-16 00:00:00,57,24,31,"International Brotherhood of Teamsters, Local 322",Directed,WON,,2021-12-27 00:00:00,Certific. of Representative,2022,,,,,
1271,"05, 05 WDC",05-RC-286374,,"Catonsville Healthcare, LLC d/b/a Forest Haven Nursing and Rehabilitation Center",RC,Catonsville,MD,2021-12-21 00:00:00,26,0,16,"1199 SEIU, United Healthcare Workers East",Stipulated,WON,,2022-01-24 00:00:00,Certific. of Representative,2022,,,,,
1272,"05, 05 WDC",05-RC-287417,,"Healthcare Services Group, Inc.",RC,Essex,MD,2021-12-28 00:00:00,18,1,9,1199 SEIU United Healthcare Workers East,Stipulated,WON,,2022-01-26 00:00:00,Certific. of Representative,2022,,,,,
1273,"05, 05 WDC",05-RC-287459,,SMG,RC,Tysons,VA,2022-01-05 00:00:00,6,1,3,"Treasurers & Ticket Sellers Local 868, IATSE",Stipulated,WON,,2022-02-03 00:00:00,Certific. of Representative,2022,,,,,
1274,"05, 05 WDC",05-RC-287576,,Children's National Hospital,RC,Bowie,MD,2022-01-24 00:00:00,10,3,6,"District of Columbia Nurses Association a/w National Nurses United, AFL-CIO",Stipulated,WON,,2022-02-24 00:00:00,Certific. of Representative,2022,,,,,
1275,"05, 05 WDC",05-RC-287691,,"Watkins Security Agency of DC, Inc.",RC,Washington,DC,2022-01-13 00:00:00,15,5,4,National League of Justice and Security Professionals (NLJSP),Stipulated,,LOSS,2022-02-11 00:00:00,Certification of Results,2022,,,,,
1276,"05, 05 WDC",05-RC-287700,,"Linxx Global Solutions, Inc.",RC,Quantico,VA,2022-01-05 00:00:00,10,0,5,Federal Contract Guards of America (FCGOA),Stipulated,WON,,2022-02-03 00:00:00,Certific. of Representative,2022,,,,,
1277,"05, 05 WDC",05-RC-287768,,"Metropolitan Security Services, Inc. d/b/a Walden Security",RC,Baltimore,MD,2022-03-17 00:00:00,22,0,15,Federal Contract Guards of America (FCGOA),Directed,WON,,2022-04-15 00:00:00,Certific. of Representative,2022,,,,,
1278,"05, 05 WDC",05-RC-287927,,"Universal Protection Service, LLC d/b/a Allied Universal Security Services",RC,Washington,DC,2022-01-20 00:00:00,14,0,3,National League of Justice and Security Professionals (NLJSP),Stipulated,WON,,2022-02-23 00:00:00,Certific. of Representative,2022,,,,,
1279,"05, 05 WDC",05-RC-288768,,"P&C Dunnington, Inc.",RC,Marbury,MD,2022-04-07 00:00:00,6,2,4,"Amalgamated Transit Union Local 689 a/w Amalgamated Transit Union, AFL-CIO/CLC",Stipulated,WON,,2022-04-15 00:00:00,Certific. of Representative,2022,,,,,
1280,"05, 05 WDC",05-RC-288769,,"Stanley Bus Company, Inc.",RC,Marbury,MD,2022-04-06 00:00:00,12,2,5,"Amalgamated Transit Union Local 689 a/w Amalgamated Transit Union, AFL-CIO/CLC",Directed,WON,,2022-05-06 00:00:00,Certific. of Representative,2022,,,,,
1281,"05, 05 WDC",05-RC-288770,,"BJ’s Transportation Service, LLC.",RC,Bryans Road,MD,2022-04-07 00:00:00,21,11,9,"Amalgamated Transit Union, Local 689 a/w Amalgamated Transit Union, AFL-CIO, CLC",Stipulated,,LOSS,2022-05-06 00:00:00,Certification of Results,2022,,,,,
1282,"05, 05 WDC",05-RC-288773,,"Buck-P & Son's Bus Service, LLC",RC,Indian Head,MD,2022-04-08 00:00:00,5,3,2,"Amalgamated Transit Union, Local 689 a/w Amalgamated Transit Union, AFL-CIO, CLC",Stipulated,,LOSS,2022-04-18 00:00:00,Certification of Results,2022,,,,,
1283,"05, 05 WDC",05-RC-288777,,James H. Duffy Company,RC,Waldorf,MD,2022-02-15 00:00:00,24,0,18,"Amalgamated Transit Union Local 689 a/w Amalgamated Transit Union, AFL-CIO/CLC",Stipulated,WON,,2022-03-16 00:00:00,Certific. of Representative,2022,,,,,
1284,"05, 05 WDC",05-RC-288786,,"Celestine C. Dyson, Inc., Dyson Bus Services Inc., Dyson Trucking, Inc., A Single Employer",RC,Port Tobacco,MD,2022-04-05 00:00:00,11,1,10,"Amalgamated Transit Union, Local 689 a/w Amalgamated Transit Union, AFL-CIO, CLC",Stipulated,WON,,2022-04-13 00:00:00,Certific. of Representative,2022,,,,,
1285,"05, 05 WDC",05-RC-288787,,"G. Wade Compton, Inc.",RC,Port Tobacco,MD,2022-04-05 00:00:00,11,9,2,"Amalgamated Transit Union Local 689, a/w Amalgamated Transit Union, AFL-CIO/CLC",Stipulated,,LOSS,2022-04-13 00:00:00,Certification of Results,2022,,,,,
1286,"05, 05 WDC",05-RC-288790,,"D & J Buses, Inc.",RC,Bryans Road,MD,2022-04-07 00:00:00,16,5,11,"Amalgamated Transit Union Local 689, a/w Amalgamated Transit Union, AFL-CIO/CLC",Stipulated,WON,,2022-04-15 00:00:00,Certific. of Representative,2022,,,,,
1287,"05, 05 WDC",05-RC-288795,,"G & M Transportation, Inc.",RC,Bryans Road,MD,2022-03-31 00:00:00,7,0,5,"Amalgamated Transit Union, Local 689 a/w Amalgamated Transit Union, AFL-CIO, CLC",Directed,WON,,2022-05-10 00:00:00,Certific. of Representative,2022,,,,,
1288,"05, 05 WDC",05-RC-288803,,"H&H Bus Service, Inc.",RC,Bryans Road,MD,2022-04-08 00:00:00,31,20,6,"Amalgamated Transit Union Local 689, a/w Amalgamated Transit Union, AFL-CIO/CLC",Stipulated,,LOSS,2022-05-11 00:00:00,Certification of Results,2022,,,,,
1289,"05, 05 WDC",05-RC-288807,,"H.O. Sheff & Sons, LLC and Nannie's Bus Company LLC, a Single Employer",RC,Marbury,MD,2022-04-05 00:00:00,22,2,16,"Amalgamated Transit Union, Local 689, a/w Amalgamated Transit Union, AFL-CIO, CLC",Stipulated,WON,,2022-04-13 00:00:00,Certific. of Representative,2022,,,,,
1290,"05, 05 WDC",05-RC-288808,,"Dink's Bus Services, Inc.",RC,Indian Head,MD,2022-04-06 00:00:00,20,2,11,"Amalgamated Transit Union, Local 689 a/w Amalgamated Transit Union, AFL-CIO, CLC",Stipulated,WON,,2022-04-14 00:00:00,Certific. of Representative,2022,,,,,
1291,"05, 05 WDC",05-RC-288811,,"Helen E Keller, E. Keller III Bus Service Inc, Keller Transportation Inc.",RC,Waldorf,MD,2022-04-08 00:00:00,54,10,35,"Amalgamated Transit Union Local 689 a/w Amalgamated Transit Union, AFL-CIO/CLC",Stipulated,WON,,2022-04-18 00:00:00,Certific. of Representative,2022,,,,,
1292,"05, 05 WDC",05-RC-288825,,"Compton Bus Services, Inc.",RC,Port Tobacco,MD,2022-04-06 00:00:00,50,25,20,"Amalgamated Transit Union, Local 689, a/w Amalgamated Transit Union, AFL-CIO, CLC",Stipulated,,LOSS,2022-05-24 00:00:00,Certification of Results,2022,,,,,
1293,"05, 05 WDC",05-RC-288827,,James H. Stone Jr. LLC,RC,Waldorf,MD,2022-04-07 00:00:00,24,15,4,"Amalgamated Transit Union Local 689, a/w Amalgamated Transit Union, AFL-CIO/CLC",Stipulated,,LOSS,2022-04-15 00:00:00,Certification of Results,2022,,,,,
1294,"05, 05 WDC",05-RC-289160,,"SAVA Workforce Solutions, LLC",RC,McLean,VA,2022-02-23 00:00:00,6,0,6,"International Union of Operating Engineers, Local 99, a/w International Union of Operating Engineers, AFL-CIO",Stipulated,WON,,2022-03-25 00:00:00,Certific. of Representative,2022,,,,,
1295,"05, 05 WDC",05-RC-289191,,"Catherine A. Keller Inc., Edwin A. Keller Bus Service Inc.",RC,Waldorf,MD,2022-04-21 00:00:00,44,9,29,"Amalgamated Transit Union, Local 689 a/w Amalgamated Transit Union, AFL-CIO, CLC",Stipulated,WON,,2022-05-17 00:00:00,Certific. of Representative,2022,,,,,
1296,"05, 05 WDC",05-RC-289213,,Starbucks Corporation,RC,Richmond,VA,2022-03-29 00:00:00,23,1,17,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",Stipulated,WON,,2022-05-06 00:00:00,Certific. of Representative,2022,,,,,
1297,"05, 05 WDC",05-RC-289214,,Starbucks Corporation,RC,Baltimore,MD,2022-04-04 00:00:00,22,0,14,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",Directed,WON,,2022-05-18 00:00:00,Certific. of Representative,2022,,,,,
1298,"05, 05 WDC",05-RC-289221,,Starbucks Corporation,RC,Richmond,VA,2022-03-29 00:00:00,29,3,22,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",Stipulated,WON,,2022-05-06 00:00:00,Certific. of Representative,2022,,,,,
1299,"05, 05 WDC",05-RC-289283,,"Durham School Services, L.P.",RC,Baltimore,MD,2022-03-02 00:00:00,123,3,50,"Warehouse, General Sales Drivers, Dairy, Bakery, Brewery, Soft Drink, Professional and Technical, Laundry, Linen and Allied Employees, Teamsters Local Union No. 570 a/w International Brotherhood of Teamsters",Stipulated,WON,,2022-04-04 00:00:00,Certific. of Representative,2022,,,,,
1300,"05, 05 WDC",05-RC-289626,,"Union Kitchen, LLC",RC,Washington,DC,2022-03-08 00:00:00,56,11,20,"United Food and Commercial Workers Union Local 400 a/w United Food and Commercial Workers International Union, AFL–CIO",Stipulated,WON,,2022-06-29 00:00:00,Certific. of Representative,2022,,,,,
1301,"05, 05 WDC",05-RC-290243,,"Hallaway, LLC d/b/a Star Buds",RC,Baltimore,MD,2022-03-18 00:00:00,25,18,7,"United Food and Commercial Workers Union, Local 27 a/w United Food and Commercial Workers International Union, AFL-CIO",Stipulated,,LOSS,2022-04-01 00:00:00,Certification of Results,2022,,,,,
1302,"05, 05 WDC",05-RC-290507,,Starbucks Corporation,RC,Richmond,VA,2022-06-09 00:00:00,20,7,8,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",Directed,WON,,2022-07-12 00:00:00,Certific. of Representative,2022,,,,,
1303,"05, 05 WDC",05-RC-290510,,Starbucks Corporation,RC,Richmond,VA,2022-03-29 00:00:00,28,2,11,Workers United,Directed,WON,,2022-05-06 00:00:00,Certific. of Representative,2022,,,,,
1304,"05, 05 WDC",05-RC-290518,,Starbucks Corporation,RC,Midlothian,VA,2022-03-29 00:00:00,31,8,13,Workers United a/w SEIU,Stipulated,WON,,2022-05-06 00:00:00,Certific. of Representative,2022,,,,,
1305,"05, 05 WDC",05-RC-290586,,Starbucks Corporation,RC,Richmond,VA,2022-06-09 00:00:00,17,0,6,Workers United,Directed,WON,,2022-07-12 00:00:00,Certific. of Representative,2022,,,,,
1306,"05, 05 WDC",05-RC-290623,,"Pennsylvania PERCS, Inc.",RC,Mechanicsburg,PA,2022-03-17 00:00:00,6,2,4,"International Brotherhood of Electrical Workers Local Union No. 126, AFL-CIO",Stipulated,WON,,2022-03-25 00:00:00,Certific. of Representative,2022,,,,,
